name,company,pack_size,link,sale_price,mrp,letter
Desora,Continental Pharma,60ml,https://dawaai.pk/medicine/desora-38551.html,131,145,d
Dol-p,Genix,1 x10's,https://dawaai.pk/medicine/dol-p-1-38788.html,189,210,d
Dimis,Genix,2 x 10's,https://dawaai.pk/medicine/dimis-2-38815.html,217,242,d
Diabold Plus,Barrett,3 x 10's,https://dawaai.pk/medicine/diabold-plus-1mg-500mg-39941.html,81,90,d
Dobutel,Icon,1,https://dawaai.pk/medicine/dobutel-39982.html,305,339,d
Dopamine Inj,LCPW,1,https://dawaai.pk/medicine/dopamine-inj-3-39993.html,116,129,d
Dinemic,Maple,3x10's,https://dawaai.pk/medicine/dinemic-1-40137.html,208,231,d
Dologin,Opal,200's,https://dawaai.pk/medicine/dologin-12-40207.html,558,620,d
Dosik,Adamjee Pharmaceuticals,10x10's,https://dawaai.pk/medicine/dosik-40982.html,21,23,d
D4U,Genix,5 Ampx1ml,https://dawaai.pk/medicine/inj-d4u-1-41086.html,158,175,d
D Tres,Sami,1mlx1 Amp,https://dawaai.pk/medicine/d-tres-41095.html,171,190,d
Dan-D,CCL,1x1,https://dawaai.pk/medicine/dan-d-41107.html,362,403,d
Dilair,Helix Pharma,1x10's,https://dawaai.pk/medicine/dilair-42812.html,235,261,d
Dilair,Helix Pharma,1x14's,https://dawaai.pk/medicine/dilair-1-42813.html,270,300,d
Diampa,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/diampa-43200.html,297,330,d
Duphalac,Abbott Laboratories,240 ml,https://dawaai.pk/medicine/duphalac-4-43413.html,427,475,d
Duragesic-T 37.5mg + 325mg,Tabroos,10,https://dawaai.pk/medicine/duragesic-t-375mg-325mg-43430.html,137,152,d
Diampa,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/diampa-10mg-43463.html,198,220,d
Diampa-M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/diampa-m-125mg1000mg-43464.html,234,260,d
Dan-D 5mg Ampoule,CCL,1,https://dawaai.pk/medicine/dan-d-5mg-ampoule-43552.html,185,205,d
Dapakan,Platinum,120ml,https://dawaai.pk/medicine/dapakan-3-43714.html,160,178,d
Dasavir,Aspin Pharma,28's,https://dawaai.pk/medicine/dasavir-43765.html,"4,097","4,552",d
Dimed-Z,Maxitech Pharma,60ml,https://dawaai.pk/medicine/dimed-z-lotion-60ml-44014.html,302,335,d
Descol,Nabi Qasim,10's,https://dawaai.pk/medicine/descol-44164.html,324,360,d
Descol,Nabi Qasim,10's,https://dawaai.pk/medicine/descol-1-44174.html,178,198,d
Dostax,Scotman,1x10's,https://dawaai.pk/medicine/dostax-44289.html,296,329,d
Dapaglu,Scotman,1x14's,https://dawaai.pk/medicine/dapaglu-44298.html,270,300,d
Dapaglu,Scotman,1x14's,https://dawaai.pk/medicine/dapaglu-1-44300.html,396,440,d
Dicloscot,Scotman,1x30's,https://dawaai.pk/medicine/dicloscot-capsule-100mg-44301.html,252,280,d
Diampa-M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/diampa-m-44937.html,365,405,d
Dermosporin,Nabi Qasim,60ml,https://dawaai.pk/medicine/dermosporin-44975.html,126,140,d
Dayline,High-Q,1 Vial,https://dawaai.pk/medicine/dayline-6-45007.html,162,180,d
Dolonap,Platinum,2x10's,https://dawaai.pk/medicine/dolonap-4-45012.html,160,178,d
Dicloran,Sami,2x10's,https://dawaai.pk/medicine/dicloran-6-45123.html,153,170,d
Diajard-M,Highnoon,1x14's,https://dawaai.pk/medicine/diajard-m-1-45914.html,189,210,d
Detrusitol,Pfizer,2x14's,https://dawaai.pk/medicine/detrusitol-2-46234.html,"1,485","1,650",d
Diajard-M,Highnoon,2 x 7's,https://dawaai.pk/medicine/diajard-m-4-46375.html,170,189,d
Diajard-MXR,Highnoon,2 x 7's,https://dawaai.pk/medicine/diajard-m-5-46376.html,234,260,d
Diajard-M,Highnoon,2x7's,https://dawaai.pk/medicine/diajard-m-6-46382.html,277,308,d
Dapa-Met,Hilton,2x7's,https://dawaai.pk/medicine/dapa-met-46399.html,191,213,d
Dapa-Met,Hilton,2x7's,https://dawaai.pk/medicine/dapa-met-1-46400.html,158,175,d
Dapa-Met XR,Hilton,2x7's,https://dawaai.pk/medicine/dapa-met-xr-46401.html,240,267,d
Dapa-Met XR,Hilton,2x7's,https://dawaai.pk/medicine/dapa-met-xr-1-46402.html,201,223,d
Diajard,Highnoon,2x7's,https://dawaai.pk/medicine/diajard-2-46430.html,183,203,d
Diajard,Highnoon,2x7's,https://dawaai.pk/medicine/diajard-3-46520.html,185,205,d
Duvel plus,Martin Dow,2 x 7's,https://dawaai.pk/medicine/-46581.html,209,233,d
Dimed-S,Maxitech Pharma,60 ml,https://dawaai.pk/medicine/-46716.html,273,303,d
Diflucan,Pfizer,1 x 1's,https://dawaai.pk/medicine/-47021.html,558,620,d
Diampa-M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/-47270.html,441,490,d
Diampa-M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/-47271.html,342,380,d
Diampa-M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/-47272.html,441,490,d
Diampa-M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/diampa-m-5850mg-tablets-2-x-7s-pack-47374.html,171,190,d
Daplyza - M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/daplyza-m-5-mg-850-mg-tablet-2-x-7s-pack-47599.html,149,165,d
Daplyza - M,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/daplyza-m-5-mg-1000-mg-tablet-2-x-7s-pack-47600.html,149,165,d
Daplyza,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/daplyza-5-mg-tablet-2-x-7s-pack-47601.html,140,155,d
Daplyza,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/daplyza-10-mg-tablet-2-x-7s-pack-47602.html,225,250,d
Daploz,Highnoon lab,2 x 7's,https://dawaai.pk/medicine/daploz-10-mg-tablets-2-x-7s-pack-47987.html,189,210,d
Daploz,Highnoon lab,2 x 7's,https://dawaai.pk/medicine/daploz-5-mg-tablets-2-x-7s-pack-47988.html,126,140,d
Daplozmet,Highnoon lab,2 x 7's,https://dawaai.pk/medicine/daplozmet-5-mg-850-mg-tablets-2-x-7s-pack-47989.html,139,154,d
Daplozmet,Highnoon,2 x 7's,https://dawaai.pk/medicine/daplozmet-5-mg-1000-mg-tablets-2-x-7s-pack-47990.html,148,164,d
Dologin DS,Opal,20 x 10's,https://dawaai.pk/medicine/dologin-ds-500-mg-tablet-20-x-10s-pack-48021.html,31,34,d
Dune,Scotman,2 x 14's,https://dawaai.pk/medicine/dune-10-mg-tablets-2-x-14s-pack-48022.html,311,345,d
Dentisept,Hirani's Pharma,200 ml,https://dawaai.pk/medicine/dentisept-01-02-mouthwash-200-ml-bottle-48068.html,196,218,d
Dentisept,Hirani's Pharma,30 gm,https://dawaai.pk/medicine/dentisept-1-01-gel-30-gm-pack-48069.html,109,121,d
Dexibu,Hirani's Pharma,120 ml,https://dawaai.pk/medicine/dexibu-100-mg-5-ml-suspension-120-ml-bottle-48070.html,138,153,d
Dexxoo,Horizon Pharma,2 x 15's,https://dawaai.pk/medicine/dexxoo-60-mg-capsule-2-x-15s-pack-48253.html,608,675,d
Dingo,Serving Health Pakistan,1 x 10's,https://dawaai.pk/medicine/dingo-5-mg-tablets-1-x-10s-pack-48267.html,167,185,d
Dingo,Serving Health Pakistan,120 ml,https://dawaai.pk/medicine/-48281.html,167,185,d
Dexxoo,Horizon Pharma,2 x 15's,https://dawaai.pk/medicine/dexxoo-30-mg-capsules-2-x-15s-pack-48352.html,405,450,d
Diampa LT,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/diampa-lt-25-mg-5-mg-tablet-2-x-7s-pack-49080.html,340,378,d
Diampa LT,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/diampa-lt-10-mg-5-mg-tablet-2-x-7s-pack-49081.html,223,248,d
Dinacor,Hilton,2 x 5's,https://dawaai.pk/medicine/dinacor-300-mg-capsules-2-x-5s-pack-49143.html,268,298,d
Daplazole,AGP,3 x 10's,https://dawaai.pk/medicine/daplazole-30-mg-capsule-3-x-10s-pack-49206.html,180,200,d
Daplazole,AGP,3 x 10's,https://dawaai.pk/medicine/daplazole-60-mg-capsule-3-x-10s-pack-49207.html,252,280,d
Dowmoxi,Martin Dow,1 x 5's,https://dawaai.pk/medicine/dowmoxi-400-mg-tablets-1-x-5s-pack-49240.html,473,525,d
Dapa-Met,Hilton,1 x 14's,https://dawaai.pk/medicine/dapa-met-5-mg-850-mg-tablet-1-x-14s-pack-49807.html,398,442,d
Dapsone,Hudson Pharma's,10 gm,https://dawaai.pk/medicine/dapsone-5-gel-10-gm-pack-50004.html,354,394,d
Dicloran,Sami,3 x 10's,https://dawaai.pk/medicine/dicloran-50-mg-tablets-3-x-10s-pack-50022.html,99,110,d
Diajard MXR,Highnoon,2 x 7's,https://dawaai.pk/medicine/diajard-mxr-5-mg-1000-mg-tablets-2-x-7s-pack-50031.html,154,171,d
Diajard-M,Highnoon,2 x 7's,https://dawaai.pk/medicine/diajard-m-5-mg-500-mg-tablets-2-x-7s-pack-50049.html,95,105,d
Diajard-MXR,Highnoon,2 x 7's,https://dawaai.pk/medicine/diajard-mxr-10-mg-1000-mg-tablets-2-x-7s-pack-50070.html,158,175,d
Danzol,Platinum,3 x 10's,https://dawaai.pk/medicine/danzol-200-mg-capsules-3-x-10s-pack-50154.html,447,497,d
Dologin,Opal,10 x 10's,https://dawaai.pk/medicine/dologin-250-mg-tablets-10-x-10s-pack-50162.html,19,21,d
Dapwiz,Pharm Evo,1 x 10's,https://dawaai.pk/medicine/dapwiz-10-mg-tablets-1-x-10s-pack-50181.html,279,310,d
Dapwiz,Pharm Evo,1 x 10's,https://dawaai.pk/medicine/dapwiz-5-mg-tablets-1-x-10s-pack-50182.html,180,200,d
Dowtor,Martin Dow,2 x 7's,https://dawaai.pk/medicine/dowtor-5-mg-160-mg-tablets-2-x-7s-pack-50206.html,186,207,d
Donresp,Cell Laboratories,1 x 10's,https://dawaai.pk/medicine/donresp-1-mg-tablets-1-x-10s-pack-50211.html,158,175,d
Donresp,Cell Laboratories,1 x 10's,https://dawaai.pk/medicine/donresp-2-mg-tablets-1-x-10s-pack-50212.html,265,294,d
Donresp,Cell Laboratories,1 x 10's,https://dawaai.pk/medicine/donresp-3-mg-tablets-1-x-10s-pack-50213.html,397,441,d
Donresp,Cell Laboratories,1 x 10's,https://dawaai.pk/medicine/donresp-4-mg-tablets-1-x-10s-pack-50214.html,540,600,d
Diajard-MXR,Highnoon,2 x 7's,https://dawaai.pk/medicine/diajard-mxr-25-mg-1000-mg-tablet-2-x-7s-pack-50271.html,239,266,d
Dostin,Brookes,2 x 10's,https://dawaai.pk/medicine/dostin-150-mg-capsule-2-x-10s-pack-50328.html,117,131,d
Dapa 10mg  2 x 14,Hilton,28,https://dawaai.pk/medicine/dapa-10mg-2-x-14-50392.html,515,572,d
Dijex MP Syp,Abbott Laboratories,1,https://dawaai.pk/medicine/dijex-mp-syp-1281.html,78,78,d
Decadron 4mg/ml,OBS,5 ml,https://dawaai.pk/medicine/decadron-4mgml-1647.html,65,65,d
Dermoquin Cream 2%,Wilson's,20g,https://dawaai.pk/medicine/dermoquin-cream-2-5367.html,87,87,d
Dosik,Adamjee Pharmaceuticals,5x10's,https://dawaai.pk/medicine/dosik-haloperidol-5mg-tablet-6096.html,21,21,d
Dermosporin 1% 20ml,Nabi Qasim,20ml,https://dawaai.pk/medicine/dermosporin-soln-20ml-9309.html,63,63,d
Diab-Tus,Zafa,100s,https://dawaai.pk/medicine/diab-tus-10960.html,47,47,d
Diabold 1mg,Barrett,2 x 10s,https://dawaai.pk/medicine/diabold-11058.html,55,55,d
Diatrol,Martin Dow,2x10's,https://dawaai.pk/medicine/diatrol-11070.html,50,50,d
Diglyta,Zafa,14s,https://dawaai.pk/medicine/diglyta-11376.html,29,29,d
Diglyta,Zafa,14s,https://dawaai.pk/medicine/diglyta-1-11377.html,48,48,d
Diglyta Plus,Zafa,14s,https://dawaai.pk/medicine/diglyta-plus-11476.html,128,128,d
Doricum,Himont,10ml,https://dawaai.pk/medicine/doricum-1-16439.html,67,67,d
Dexacor,Valor,5ml,https://dawaai.pk/medicine/dexacor-1-17371.html,29,29,d
Deltafast,Schazoo Pharmaceuticals,60ml,https://dawaai.pk/medicine/deltafast-17485.html,95,95,d
Diclomin,Schazoo Pharmaceuticals,5ml,https://dawaai.pk/medicine/diclomin-18266.html,95,95,d
Diclotek,Innvotek,5ml,https://dawaai.pk/medicine/diclotek-18267.html,85,85,d
Difsom Eye,Vega,5ml,https://dawaai.pk/medicine/difsom-eye-18270.html,90,90,d
Davizin,Davis Pharma,60ml,https://dawaai.pk/medicine/davizin-18749.html,36,36,d
Davizin,Davis Pharma,2x10's,https://dawaai.pk/medicine/davizin-1-18750.html,62,62,d
Duride,Bosch,2x10's,https://dawaai.pk/medicine/duride-23333.html,35,35,d
Dologin,Opal,60ml,https://dawaai.pk/medicine/dologin-23895.html,37,37,d
Dologin DS,Opal,60ml,https://dawaai.pk/medicine/dologin-ds-23896.html,51,51,d
Dromax,Bosch,10ml,https://dawaai.pk/medicine/dromax-1-24897.html,83,83,d
Day Fort,High-Q,1 Vial,https://dawaai.pk/medicine/day-fort-1-26606.html,100,100,d
Dexibu,Hirani's Pharma,60ml,https://dawaai.pk/medicine/dexibu-33990.html,50,50,d
Dexy,Tabroos,60ml,https://dawaai.pk/medicine/dexy-1-33999.html,89,89,d
Diclokalium,Zafa,20's,https://dawaai.pk/medicine/diclokalium-34097.html,116,116,d
Difam Plus,Bosch,5 Ampx2ml,https://dawaai.pk/medicine/difam-plus-34267.html,20,20,d
Davitran,Davis Pharma,30's,https://dawaai.pk/medicine/davitran-34406.html,47,47,d
Davitran,Davis Pharma,2x10's,https://dawaai.pk/medicine/davitran-1-34407.html,40,40,d
Dicloscot,Scotman,2x10's,https://dawaai.pk/medicine/dicloscot-1-34481.html,48,48,d
Diclozaf,Zafa,2x10's,https://dawaai.pk/medicine/diclozaf-2-34497.html,34,34,d
Difam,Bosch,5 Ampx3ml,https://dawaai.pk/medicine/difam-34516.html,17,17,d
Difsom,Vega,2x10's,https://dawaai.pk/medicine/difsom-1-34526.html,38,38,d
Doltee Teething,Wood Wards,10ml,https://dawaai.pk/medicine/doltee-teething-1-35558.html,50,50,d
Domel 5mg/5ml,Barrett,60ml,https://dawaai.pk/medicine/domel-5mg5ml-37062.html,88,88,d
Dermosalic,Maxitech Pharma,15gm,https://dawaai.pk/medicine/dermosalic-37627.html,80,80,d
Dijex Mp Mixed Fruit,Abbott Laboratories,120 ml,https://dawaai.pk/medicine/dijex-mp-mix-fruit-38335.html,79,79,d
Doloraid,Maple,1x10's,https://dawaai.pk/medicine/doloraid-1-39043.html,98,98,d
Dinemic,Maple,1x20's,https://dawaai.pk/medicine/dinemic-2-40138.html,289,289,d
Dologin,Opal,60 ml,https://dawaai.pk/medicine/dologin-9-40204.html,34,34,d
Dimed-Z,Maxitech Pharma,10gm,https://dawaai.pk/medicine/dimed-z-cream-41055.html,69,69,d
Dimed-S,Maxitech Pharma,15gm,https://dawaai.pk/medicine/dimed-s-2-41056.html,86,86,d
Diltiazaf,Zafa,3x10's,https://dawaai.pk/medicine/diltiazaf-44819.html,21,21,d
Diazinc,Searle,60ml,https://dawaai.pk/medicine/diazinc-45839.html,103,103,d
Domflash,Next Pharmaceutical,60 ml,https://dawaai.pk/medicine/domflash5-mg-suspention-60-ml-pack-47873.html,59,59,d
Dowcoxia,Martin Dow,1 x 10's,https://dawaai.pk/medicine/dowcoxia-60-mg-tablets-1-x-10s-pack-48597.html,132,132,d
Deltacortril,Pfizer,1x1000's,https://dawaai.pk/medicine/Deltacortil-Tablet5-120.html,2,2,d
Deltacortril Enteric Coated,Pfizer,1x100's,https://dawaai.pk/medicine/deltacortril-enteric-coated-5mg-758.html,286,318,d
Dostinex,Pfizer,1x8's,https://dawaai.pk/medicine/dostinex-05mg-982.html,"5,850","6,500",d
Dormicum,Martin Dow,1x10's,https://dawaai.pk/medicine/dormicum-75mg-1210.html,179,199,d
Daycor Cough Syp,Abbott Laboratories,120ml,https://dawaai.pk/medicine/daycor-cough-syp-1243.html,98,109,d
Dementio ER,Genetics Pharmaceuticals,3x10's,https://dawaai.pk/medicine/dementio-er-8mg-1429.html,757,841,d
Diane 35,Bayer,1x21's,https://dawaai.pk/medicine/diane-35-1534.html,488,543,d
Duofilm 15ml,GlaxoSmithKline,15ml,https://dawaai.pk/medicine/duofilm-15ml-1535.html,346,385,d
Dilzem,Pfizer,3x10's,https://dawaai.pk/medicine/dilzem-60mg-1784.html,214,237,d
Dlona Drops,Better Health Company,1,https://dawaai.pk/medicine/dlona-drops-1823.html,333,370,d
Digest Aid,The Vitamin Company,1,https://dawaai.pk/medicine/the-vitmain-company-digest-aid-2357.html,360,400,d
Dopergin 0.2mg,Bayer,1,https://dawaai.pk/medicine/dopergin-02mg-5374.html,418,464,d
Duricef Susp 125mg/ 5ml,GlaxoSmithKline,90 ml,https://dawaai.pk/medicine/duricef-susp-125mg-5ml-5377.html,225,250,d
Degoal,Genome Pharma,30,https://dawaai.pk/medicine/degoal-tablet-6028.html,270,300,d
D-VENT SOFT GEL (VITAMIN D),Avant,4s,https://dawaai.pk/medicine/d-vent-soft-gel-vitamin-d-6218.html,828,920,d
Dementio ER,Genetics Pharmaceuticals,3x10's,https://dawaai.pk/medicine/dementio-er-12mg-tab-30s-9304.html,874,971,d
Diabetone,Vitabiotics,30,https://dawaai.pk/medicine/diabetone-9972.html,765,850,d
Depio Provera,Pfizer,1 Vial,https://dawaai.pk/medicine/depio-provera-saheli-10626.html,138,153,d
Desofam,Zafa,3x28's,https://dawaai.pk/medicine/desofam-1-10628.html,83,93,d
Delaware,Efroze,30s,https://dawaai.pk/medicine/delaware-4-10748.html,144,160,d
Dimitone,Dawaai,30s,https://dawaai.pk/medicine/dimitone-1-10753.html,860,955,d
Delaware,Efroze,10s,https://dawaai.pk/medicine/delaware-6-10895.html,180,200,d
Dimitone,Dawaai,10s,https://dawaai.pk/medicine/dimitone-3-10902.html,152,169,d
Diabinil,Lowitt,6x10s,https://dawaai.pk/medicine/diabinil-10971.html,36,40,d
Diabo,Davis Pharma,2x10s,https://dawaai.pk/medicine/diabo-11006.html,51,57,d
Diocid,Himont,3x10's,https://dawaai.pk/medicine/diocid-11012.html,59,66,d
Diaglide,Polyfine,10s,https://dawaai.pk/medicine/diaglide-1-11063.html,99,110,d
Diaglim,Askari,2x10s,https://dawaai.pk/medicine/diaglim-1-11065.html,90,100,d
Diaglim,Askari,2x10s,https://dawaai.pk/medicine/diaglim-3-11067.html,180,200,d
Dialex,Pulse,2x10s,https://dawaai.pk/medicine/dialex-1-11069.html,90,100,d
Dibnil,Jinnah Pharma,2x10s,https://dawaai.pk/medicine/dibnil-1-11075.html,54,60,d
Dibnil,Jinnah Pharma,2x10s,https://dawaai.pk/medicine/dibnil-2-11076.html,72,80,d
Dibnil,Jinnah Pharma,2x10s,https://dawaai.pk/medicine/dibnil-3-11077.html,90,100,d
Difree,Friends,2x10s,https://dawaai.pk/medicine/difree-11078.html,90,100,d
Diryl,Kurative,2x10s,https://dawaai.pk/medicine/diryl-1-11080.html,90,100,d
Diryl,Kurative,2x10s,https://dawaai.pk/medicine/diryl-2-11081.html,180,200,d
Diabescot,Scotman,5x10's,https://dawaai.pk/medicine/diabescot-xr-11302.html,27,30,d
Diabin,Pharmadic,100s,https://dawaai.pk/medicine/diabin-11307.html,120,133,d
Diactal,Reko,14s,https://dawaai.pk/medicine/diactal-1-11371.html,149,165,d
Diactal,Reko,14s,https://dawaai.pk/medicine/diactal-2-11372.html,197,219,d
Dizone,Healthtek,14s,https://dawaai.pk/medicine/dizone-1-11379.html,119,132,d
Dizone,Healthtek,14s,https://dawaai.pk/medicine/dizone-2-11380.html,158,176,d
Dowglit,Martin Dow,1x14's,https://dawaai.pk/medicine/dowglit-1-11382.html,145,161,d
Dowglit,Martin Dow,1x14's,https://dawaai.pk/medicine/dowglit-2-11383.html,189,210,d
Dorfene,Pharmadic,5 Ampx1 ml,https://dawaai.pk/medicine/dorfene-11941.html,24,26,d
Dermaan,Wilshire,1x30's,https://dawaai.pk/medicine/dermaan-1-11962.html,135,150,d
Dextagesic,Eros,10x10s,https://dawaai.pk/medicine/dextagesic-1-11994.html,11,12,d
Doren,Medicaids,100,https://dawaai.pk/medicine/doren-11997.html,10,11,d
Dosavin,Dosaco,100,https://dawaai.pk/medicine/dosavin-11998.html,10,11,d
Draphene,Lisko,100,https://dawaai.pk/medicine/draphene-11999.html,112,125,d
Dypon,Don Valley,100,https://dawaai.pk/medicine/dypon-12000.html,12,13,d
Diprivan,ICI Pakistan Limited,5 Amp x 20 ml,https://dawaai.pk/medicine/diprivan-12170.html,379,421,d
Dipodium,Amarant,10x10's,https://dawaai.pk/medicine/dipodium-2-12269.html,225,249,d
Dipodium,Amarant,10x10's,https://dawaai.pk/medicine/dipodium-3-12270.html,176,195,d
Dipodium,Amarant,3x10's,https://dawaai.pk/medicine/dipodium-4-12271.html,66,73,d
Dirite,Genome Pharma,10x10's,https://dawaai.pk/medicine/dirite-12272.html,31,35,d
Dirite,Genome Pharma,10x10's,https://dawaai.pk/medicine/dirite-1-12273.html,65,72,d
Dihydan,French Pharma,300,https://dawaai.pk/medicine/dihydan-1-12609.html,282,313,d
Dilantin,Pfizer,1x100's,https://dawaai.pk/medicine/dilantin-12610.html,99,110,d
Dygab,Dyson R L,14,https://dawaai.pk/medicine/dygab-12621.html,270,300,d
Dygab,Dyson R L,14,https://dawaai.pk/medicine/dygab-1-12622.html,342,380,d
Dygab,Dyson R L,14,https://dawaai.pk/medicine/dygab-2-12623.html,171,190,d
Dygab,Dyson R L,14,https://dawaai.pk/medicine/dygab-3-12624.html,180,200,d
Dalacin-V,Pfizer,20gm,https://dawaai.pk/medicine/dalacin-v-12761.html,485,539,d
Dermotrim Vaginal,Geofman,1,https://dawaai.pk/medicine/dermotrim-vaginal-12805.html,107,119,d
Dinoprose E-2,Himont,1x1's,https://dawaai.pk/medicine/dinoprose-e-2-12879.html,432,480,d
Dolex,Pramount,100,https://dawaai.pk/medicine/dolex-12924.html,34,38,d
Dolex,Pramount,500,https://dawaai.pk/medicine/dolex-2-12926.html,33,37,d
Dexal,Ipharm,5 Amp,https://dawaai.pk/medicine/dexal-13044.html,29,32,d
Dysoprin,Dyson R L,20,https://dawaai.pk/medicine/dysoprin-13073.html,171,190,d
Denile,Mass-PH Health,10,https://dawaai.pk/medicine/denile-13110.html,115,128,d
Denile,Mass-PH Health,10,https://dawaai.pk/medicine/denile-1-13111.html,193,214,d
Denile,Mass-PH Health,10,https://dawaai.pk/medicine/denile-2-13112.html,370,411,d
Denile Plus,Mass-PH Health,14,https://dawaai.pk/medicine/denile-plus-13147.html,279,310,d
Diaval,Ethical Laboratories,14,https://dawaai.pk/medicine/diaval-13157.html,540,600,d
Diaval,Ethical Laboratories,14,https://dawaai.pk/medicine/diaval-1-13158.html,360,400,d
Diastolic,Werick,28,https://dawaai.pk/medicine/diastolic-13296.html,501,557,d
Diastolic,Werick,28,https://dawaai.pk/medicine/diastolic-1-13297.html,277,308,d
Diastolic H,Werick,2 x 14s,https://dawaai.pk/medicine/diastolic-h-13310.html,284,315,d
Drate,S.J. & G. Fazul Ellahie,10,https://dawaai.pk/medicine/drate-13468.html,122,135,d
Denser,Valor,1x14's,https://dawaai.pk/medicine/denser-13507.html,180,200,d
Dronate,Martin Dow,1x4's,https://dawaai.pk/medicine/dronate-13521.html,900,"1,000",d
Dronate,Martin Dow,10,https://dawaai.pk/medicine/dronate-1-13522.html,315,350,d
Danatris,Sycom,30,https://dawaai.pk/medicine/danatris-13550.html,389,432,d
Danatris,Sycom,30,https://dawaai.pk/medicine/danatris-1-13551.html,779,865,d
Danaxy,Shrooq,30,https://dawaai.pk/medicine/danaxy-13552.html,828,920,d
Danocrine,Sanofi,30,https://dawaai.pk/medicine/danocrine-13553.html,477,530,d
Danocrine,Sanofi,30,https://dawaai.pk/medicine/danocrine-1-13554.html,955,"1,061",d
Danzol,Platinum,30,https://dawaai.pk/medicine/danzol-1-13556.html,"1,188","1,321",d
Decapeptyl,Atco,28 vial,https://dawaai.pk/medicine/decapeptyl-13563.html,663,737,d
Decapeptyl,Atco,1s,https://dawaai.pk/medicine/decapeptyl-1-13564.html,"12,330","13,700",d
Detrusitol,Pfizer,1x30's,https://dawaai.pk/medicine/detrusitol-13642.html,"2,245","2,494",d
Dalemycin,Oakale Pharma,15ml,https://dawaai.pk/medicine/dalemycin-14454.html,149,165,d
Dalemycin,Oakale Pharma,6,https://dawaai.pk/medicine/dalemycin-1-14455.html,135,150,d
Delide,Dermagen,6,https://dawaai.pk/medicine/delide-14456.html,135,150,d
Dome-One Maleate,Shrooq,5 x 10's,https://dawaai.pk/medicine/dome-one-maleate-15031.html,48,53,d
Dompro Maleate,U nison,50,https://dawaai.pk/medicine/dompro-maleate-15034.html,194,215,d
Domwis,Wise Pharma,5x10's,https://dawaai.pk/medicine/domwis-1-15036.html,47,52,d
Donald,Batala Pharma,5x10's,https://dawaai.pk/medicine/donald-15037.html,27,30,d
Digesso,Alfalah Pharma,14,https://dawaai.pk/medicine/digesso-15168.html,130,145,d
Digesso,Alfalah Pharma,10,https://dawaai.pk/medicine/digesso-1-15169.html,191,213,d
Dulan,Hilton,1x10's,https://dawaai.pk/medicine/dulan-30mg-tablets-15412.html,419,465,d
Domilium,Jinnah Pharma,5x10's,https://dawaai.pk/medicine/domilium-15891.html,39,43,d
Dompedone,Harmann,5x10's,https://dawaai.pk/medicine/dompedone-2-15900.html,24,27,d
Dalacin,Pfizer,1x16's,https://dawaai.pk/medicine/dalacin-16055.html,273,303,d
Duac,GlaxoSmithKline,10gm,https://dawaai.pk/medicine/duac-1-16093.html,513,570,d
Dermovate-NN,GlaxoSmithKline,10gm,https://dawaai.pk/medicine/dermovate-nn-16153.html,109,121,d
Dutran DS,Pharmix,5 x 20's,https://dawaai.pk/medicine/dutran-ds-1-16577.html,47,52,d
Devom,Siza,25 Ampx1ml,https://dawaai.pk/medicine/devom-2-16809.html,173,192,d
Dirinate,E-Lite,25 Ampx1ml,https://dawaai.pk/medicine/dirinate-1-16815.html,5,6,d
Dipotil,Unexo,1x500's,https://dawaai.pk/medicine/dipotil-1-16841.html,202,224,d
D-Done,Flow Pharma,5x10's,https://dawaai.pk/medicine/d-done-1-16870.html,26,29,d
Do-One,Global-Vision,50,https://dawaai.pk/medicine/do-one-3-16873.html,194,215,d
Dodon,Honig,5x10's,https://dawaai.pk/medicine/dodon-1-16874.html,26,29,d
Dolium,swiss pharma,5x10's,https://dawaai.pk/medicine/dolium-5-16879.html,36,40,d
Domact,Neutro,50,https://dawaai.pk/medicine/domact-3-16881.html,151,168,d
Domec,Hisun,5x10's,https://dawaai.pk/medicine/domec-5-16886.html,39,43,d
Domid,Miracle,50,https://dawaai.pk/medicine/domid-3-16890.html,162,180,d
Domipar,Libra,1x50's,https://dawaai.pk/medicine/domipar-3-16893.html,194,215,d
Domotin,Benson,5x10's,https://dawaai.pk/medicine/domotin-1-16895.html,30,33,d
Domptillium,Rakahposhi,5x10's,https://dawaai.pk/medicine/domptillium-5-16904.html,32,36,d
Domsave,Medisave,50,https://dawaai.pk/medicine/domsave-3-16909.html,194,215,d
Dopin,CSH,5x10's,https://dawaai.pk/medicine/dopin-1-16911.html,32,36,d
Dalacin C,Pfizer,1 Ampx2ml,https://dawaai.pk/medicine/dalacin-4-17056.html,177,197,d
